,index,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Puntos Fantasy,Player,Team,Precio,Uso,Form,TP,PosFantasy,PosAgg
160,160,,ivica zubac,Lac,C,27.1,68,26.4,16.4,13.2,166,0.723,519,0.649,0,0.0,0.649,0.671,11.7,9.2,1.4,0.3,1.2,1.2,20.9,13.0,22.3,8.1,131.7,106.0,26.611764705882354,ivica zubac, LAC  ,11.0,0.013,0.0,1920.7,Front,Back
161,161,,p.j. washington,Dal,F,25.6,29,32.2,16.3,9.0,51,0.627,133,0.556,169,0.314,0.508,0.522,11.7,6.2,1.5,1.2,0.9,1.0,17.9,13.2,19.4,5.9,105.7,111.4,24.582103448275863,p.j. washington, DAL  ,10.0,0.058,0.0,1940.7,Front,Front
162,162,,cole anthony,Orl,G,23.9,81,22.4,23.7,14.2,218,0.826,487,0.491,275,0.338,0.497,0.546,11.6,3.8,2.9,0.8,0.5,1.6,15.4,14.5,18.3,9.0,109.9,104.2,21.479777777777777,cole anthony, ORL  ,9.0,0.011,0.0,1840.0,Front,Back
163,163,,jeremy sochan,San,G,20.9,74,29.6,18.8,15.3,144,0.771,549,0.492,227,0.308,0.483,0.513,11.6,6.4,3.4,0.8,0.5,1.9,18.1,15.0,21.4,8.5,103.6,111.9,25.11497297297298,jeremy sochan, SAS  ,9.5,0.021,0.0,1971.7,Front,Back
164,164,,clint capela,Atl,C,29.9,73,25.8,17.3,10.7,206,0.631,617,0.572,1,0.0,0.571,0.59,11.5,10.6,1.2,0.6,1.5,1.0,22.1,12.7,23.3,8.2,126.1,111.1,29.169780821917804,clint capela, ATL  ,12.0,0.004,0.0,2275.5,Front,Back
165,165,,lamar stevens,Mem,F,26.8,19,23.0,22.5,7.1,43,0.791,157,0.484,38,0.289,0.474,0.512,11.5,5.1,1.1,0.9,0.9,0.8,16.6,12.6,17.6,7.0,105.3,109.7,22.0928947368421,lamar stevens, DET  ,5.5,0.001,0.0,577.4,Front,Front
166,166,,mike conley,Min,G,36.5,76,28.9,16.0,13.7,110,0.909,239,0.481,405,0.442,0.595,0.626,11.4,2.9,5.9,1.2,0.2,1.3,14.3,17.3,20.2,8.0,129.3,107.9,25.23707894736842,mike conley, MIN  ,10.0,0.028,0.0,2015.1,Front,Back
167,167,,malik beasley,Mil,G,27.4,79,29.6,14.6,7.0,35,0.714,180,0.533,542,0.413,0.598,0.603,11.3,3.7,1.4,0.7,0.1,0.7,14.9,12.6,16.3,5.2,116.9,112.8,18.685670886075947,malik beasley, DET  ,8.0,0.018,0.0,1549.0,Front,Back
168,168,,brandon clarke,Mem,F,27.6,6,22.4,20.8,4.8,7,0.143,53,0.604,6,0.167,0.568,0.548,11.3,5.3,1.5,0.8,1.0,0.5,16.7,12.8,18.2,8.0,114.0,111.8,23.0485,brandon clarke, MEM  ,9.5,0.001,0.0,149.9,Front,Front
169,169,,zach collins,San,C,26.4,69,22.1,22.6,17.6,162,0.753,435,0.552,181,0.32,0.531,0.565,11.2,5.4,2.8,0.5,0.8,1.9,16.6,14.1,19.4,10.0,107.7,105.7,22.626173913043484,zach collins, SAS  ,9.5,0.001,0.0,1640.0,Front,Back
