,Player,PosFantasy,Precio,VI,USG%,ORtg,DRtg,eFG%,AGE,Puntos Fantasy
362,ricky council iv,Front,5.0,6.9,22.2,129.0,112.9,0.536,22.7,8.2351875
363,delon wright,Back,5.5,5.9,11.9,124.1,110.8,0.477,32.0,14.613
364,mason plumlee,Front,5.5,8.7,15.1,124.1,104.9,0.569,34.1,13.825239130434785
365,luke kornet,Front,5.5,7.4,11.0,155.5,106.8,0.702,28.8,14.37111111111111
366,davion mitchell,Back,5.0,6.2,14.9,114.3,113.5,0.54,25.6,9.4735
367,stanley umude,Front,5.0,5.5,15.6,119.5,108.3,0.583,25.0,9.161541666666666
368,gordon hayward,Front,8.5,6.4,13.4,116.7,113.1,0.524,34.1,11.10896153846154
369,quentin grimes,Back,5.0,6.0,19.9,78.4,114.1,0.262,23.9,12.9845
370,bismack biyombo,Front,5.5,6.4,10.6,107.7,105.6,0.563,31.6,16.9294
371,jarred vanderbilt,Front,6.0,6.2,11.7,113.1,107.9,0.553,25.0,14.530758620689657
372,bol bol,Front,5.5,6.9,16.5,129.1,106.5,0.689,24.4,10.824767441860464
373,jordan nwora,Front,5.5,8.3,22.7,105.7,111.7,0.518,25.6,8.983666666666666
374,brandon boston jr.,Front,4.5,5.5,25.3,93.3,107.6,0.447,22.4,8.13840625
375,drew eubanks,Front,5.5,6.7,13.2,122.4,106.5,0.607,27.2,13.013093333333332
376,malachi flynn,Front,5.5,7.7,16.2,105.4,113.1,0.511,25.9,11.683870967741935
377,bryce mcgowens,Front,5.0,5.3,14.9,111.4,115.8,0.513,21.4,9.20433898305085
378,monte morris,Front,5.5,7.2,14.4,124.8,110.1,0.521,28.8,12.366666666666664
379,thaddeus young,Front,5.0,8.7,12.6,131.5,109.5,0.626,35.8,13.514695652173913
380,jevon carter,Back,5.0,5.0,17.7,101.3,114.6,0.484,28.6,8.768986111111111
381,devonte' graham,Front,5.0,7.5,17.8,103.7,116.8,0.468,29.1,10.324652173913044
382,chimezie metu,Front,5.5,6.5,17.0,114.6,106.6,0.565,27.1,10.051675675675677
383,goga bitadze,Front,5.0,8.1,13.3,127.0,101.2,0.608,24.7,15.186629032258066
384,kenyon martin jr.,Front,5.0,4.0,18.0,86.1,108.9,0.45,23.3,9.55
385,isaiah livers,Front,5.0,4.4,12.7,96.1,114.3,0.44,25.7,10.031217391304349
386,jalen wilson,Front,5.0,6.4,14.3,117.2,113.0,0.492,23.4,10.47381395348837
387,jordan goodwin,Back,7.5,8.8,18.2,108.8,109.4,0.448,25.5,12.33195
388,d.j. wilson,Front,4.5,8.8,16.7,172.3,115.0,0.833,28.2,9.7
389,kobi simmons,Front,4.5,7.1,13.9,115.6,112.3,0.476,26.8,15.357
390,jock landale,Front,5.0,7.7,14.8,124.7,107.9,0.539,28.5,11.811000000000002
391,garrison mathews,Front,5.0,4.3,11.1,130.5,112.6,0.644,27.5,8.000454545454543
392,jared rhoden,Back,5.0,5.4,13.3,114.8,111.3,0.591,24.6,9.961823529411763
393,eugene omoruyi,Front,5.0,8.7,22.4,111.0,105.3,0.524,27.2,9.315232558139536
394,kobe bufkin,Back,5.5,8.5,22.4,95.1,111.4,0.418,20.6,10.246117647058824
395,dejon jarreau,Back,5.0,9.8,18.3,93.2,104.8,0.38,26.2,15.806777777777777
396,shake milton,Front,5.0,6.2,18.7,100.1,104.6,0.444,27.5,8.491736842105265
397,kenrich williams,Front,5.5,7.1,13.4,119.9,105.8,0.568,29.4,11.160884057971014
398,jacob gilyard,Front,5.0,6.1,11.4,124.8,115.0,0.594,25.8,12.165675675675676
399,dylan windler,Front,4.5,5.5,11.9,136.1,119.0,0.737,27.6,8.120166666666666
400,josh okogie,Back,5.5,5.9,13.0,118.7,111.1,0.488,25.6,11.189066666666667
401,omer yurtseven,Front,5.0,8.0,17.9,110.1,111.2,0.552,25.8,11.088083333333334
402,anthony black,Back,5.0,5.4,12.7,107.7,105.9,0.54,20.2,9.732724637681155
403,robert covington,Front,5.0,5.5,11.4,124.0,102.3,0.545,33.3,13.067615384615385
404,kevon looney,Front,5.5,8.9,11.3,131.5,102.3,0.597,28.2,14.952986486486488
405,keita bates-diop,Front,5.0,5.7,13.0,115.2,112.5,0.493,28.2,10.835435897435897
406,julian strawther,Front,5.0,6.2,20.7,99.0,107.5,0.462,22.0,7.629039999999998
407,,,,4.9,15.2,121.6,112.6,0.599,24.5,6.967982142857143
408,taze moore,Front,4.5,9.0,24.2,97.2,110.7,0.447,25.8,9.048749999999998
409,monte morris,Front,5.5,8.0,22.4,91.3,121.7,0.394,28.8,9.354333333333331
410,taj gibson,Front,4.5,7.1,15.3,135.4,113.2,0.643,38.8,9.21
411,joe ingles,Front,5.5,7.0,11.6,119.1,107.3,0.59,36.5,11.77395588235294
412,maxi kleber,Front,5.5,5.6,9.6,118.1,109.9,0.541,32.2,12.3026511627907
413,mo bamba,Front,5.5,7.2,15.1,114.9,100.6,0.553,25.9,12.828385964912282
414,marjon beauchamp,Front,5.0,5.6,14.6,111.1,110.2,0.578,23.5,8.014416666666666
415,blake wesley,Back,5.5,7.3,14.7,110.2,110.8,0.502,21.1,10.546
416,,,,6.9,15.9,100.5,109.2,0.481,21.4,10.791526315789472
417,dominick barlow,Front,5.0,8.0,14.1,124.3,107.9,0.509,20.9,11.39518181818182
418,lester quinones,Front,5.0,7.6,18.2,112.3,108.0,0.511,23.4,8.315783783783782
419,ben sheppard,Front,5.0,5.2,13.1,111.5,112.2,0.5,22.7,8.591298245614034
420,jontay porter,Front,6.0,9.2,15.8,112.1,109.7,0.481,24.4,14.11207692307692
421,seth curry,Front,5.0,5.3,15.9,104.7,112.6,0.472,33.6,7.962638888888888
422,jaxson hayes,Front,5.5,6.0,12.5,128.1,102.4,0.72,23.9,9.876285714285716
423,john konchar,Back,7.5,6.4,9.7,112.9,110.3,0.514,28.1,15.714327272727273
424,dru smith,Back,5.5,6.1,13.3,118.0,104.6,0.561,26.3,10.654666666666667
425,caleb houstan,Front,5.0,4.2,12.5,119.2,109.4,0.563,21.3,7.217542372881356
426,,,,8.7,13.0,141.0,117.1,0.681,26.9,10.824666666666666
427,danuel house jr.,Front,5.0,4.8,12.2,113.7,110.3,0.519,30.9,7.876058823529412
428,troy brown jr.,Front,5.0,7.0,15.7,117.8,106.8,0.572,24.7,7.892702702702701
429,armoni brooks,Front,4.5,6.0,20.4,100.5,119.1,0.446,25.9,7.3132
